Unnamed: 0.1,Unnamed: 0,text,label,id,toxicity_score,target_groups
0,5082,we are not feeding our own ethnically diverse children it s arrogant to pretend we can help others while kids go hungry,1,19318,2.25,['all_groups']
1,7195,you need to research islam see,0,5584,1.0,['all_groups']
2,10280,you should be arrested for your insulting profile pic your racist insulting comments against jewish people,0,10191,1.0,['all_groups']
3,10126,we re counting on you to help stopesea pjnet,0,13053,1.0,['all_groups']
4,9688,dissaffected man becomes political activist i remember being very sympathetic to ows until they sta,0,7445,1.0,['all_groups']
5,311,black on white crime unveiled via,1,1222,2.25,['all_groups']
6,2485,it is open proclaimed war against global white minority race we strongly condemn all attempts to undermine whites,1,9739,2.25,['all_groups']
7,1935,sometimes i think we re the only white people left old man,1,7218,2.25,['all_groups']
8,5837,there are some people who came here legally why should illegal immigrants get a free ticket this is bull shit,1,20144,2.25,['all_groups']
9,6670,how do autists deal with school with a reeeeeeeeee volver,1,21045,2.25,['all_groups']
10,10008,rt easy noamnesty mt we will continue the fight to put citizens first,0,5681,1.0,['all_groups']
11,3950,i can appreciate that i m against non white immigration because far too many hate whites,1,15185,2.25,['all_groups']
12,12443,rt this flat is for blacks only shocking racist campaign to force white mum out of home more,0,4716,1.0,['all_groups']
13,3043,we is those who want white people to exist and do well they is everyone else,1,11893,2.25,['all_groups']
14,12782,also how do you know you are white,0,15879,1.0,['all_groups']
15,4643,infiltrator black politician wants anti white ethnic cleansing in estonia read more,1,17971,2.25,['all_groups']
16,10870,lewis is the racist,0,7944,1.0,['all_groups']
17,8536,white nationalists vow charlottesville is just the beginning the times of israel,0,10136,1.0,['all_groups']
18,8600,adl trump s linkage of jewish donors to white supremacists obscene,0,9461,1.0,['all_groups']
19,5689,she s 16 not 6 she s old enough to know better then to consort with blacks if she was dating this bla,1,19987,2.25,['all_groups']
20,5309,the world would be a better place without islam,1,19578,2.25,['all_groups']
21,8854,straight white men in germany in the 30s and 40s nazis straight white men in us in current year citizens,0,715,1.0,['all_groups']
22,9756,probably the liberal whites outside of the deep south,0,13560,1.0,['all_groups']
23,13612,what handicap are you speaking of more whites who are also victims of white supremacy should speak out against the injustices instead of just killing themselves the white male suicide rate is a whopping 67,0,11011,1.0,['all_groups']
24,8251,splc amren 2017 white nationalism 1 0 via,0,16330,1.0,['all_groups']
25,6458,the sex and skin color is irrelevant 3 evil people need to meet their maker asap,1,20787,2.25,['all_groups']
26,13239,cuckservatives gop now officially the party of white paranoia via,0,124,1.0,['all_groups']
27,168,or give a heartfelt eulogy to a racist like obama did at robert white sheets byrd s funeral,1,646,2.25,['all_groups']
28,8316,it s unfortunate that few people are now speaking openly in favour corruption and black money pm shri,0,7913,1.0,['all_groups']
29,304,another california public school persecutes a white student tcot whitepeople,1,1197,2.25,['all_groups']
30,10752,germany jewish community bochum asks members to not wear jewish symbols in public anymore whe,0,1901,1.0,['all_groups']
31,12690,duke s is implicitly white tbh,0,7734,1.0,['all_groups']
32,13145,jared are the speakers for amren 2017 almost set,0,3334,1.0,['all_groups']
33,5725,where are the american gun owners when a filthy mud slime goes all alla hoo ak bar,1,20024,2.25,['all_groups']
34,1453,were the duggars proposing religious freedom to molest act exec order from jindal coming,1,5482,2.25,['all_groups']
35,3941,half of those ppl have a significant white heritage,1,15150,2.25,['all_groups']
36,169,our heroes will never be theirs multiculturalism is a hoax hail white america,1,647,2.25,['all_groups']
37,353,it s ok to be white,1,1457,2.25,['all_groups']
38,3378,white genocide could be code for ending race an amorphous cultureless slave race is what they want,1,12860,2.25,['all_groups']
39,3963,in this day and age being white is a bad word,1,15234,2.25,['all_groups']
40,5425,white trash white person procreating with a non white,1,19704,2.25,['all_groups']
41,4329,ys it may b possible islamists have already warned us india and other countries,1,16599,2.25,['all_groups']
42,11553,supports and approves and the has it live proves media is racist 2,0,15448,1.0,['all_groups']
43,2344,there is no prohibition to kill infidels in the quran but many commands to kill,1,9089,2.25,['all_groups']
44,13464,what s the matter with you people you want them to kill more of you,0,7349,1.0,['all_groups']
45,8537,if the definition of white mean full caucasian face almost all middle east people are white,0,2335,1.0,['all_groups']
46,1611,if it s a white church it won t be called a hate crime you can bank on that,1,6062,2.25,['all_groups']
47,4919,if you have family here that are illegals and criminals oh well,1,19127,2.25,['all_groups']
48,10794,wow all these corp posts will have to boycott everything marriage equality,0,10163,1.0,['all_groups']
49,13528,aap has hit rock bottom n now ve started digging cc aaptards,0,9458,1.0,['all_groups']
50,7075,london police arrest two men in connection with the london terrorist bombing one 18 yrs old one 21 yrs old won t tell us who what they are but i can just about tell you who what they aren t white european british native londoners iq above room temperature self sufficient any takers at 10 1,1,21454,2.25,['all_groups']
51,10313,you are the racist trying to reintroduce racial segregation,0,4642,1.0,['all_groups']
52,9838,does white identity mean white supremacy responds to,0,2841,1.0,['all_groups']
53,2614,is burning whites the new knock out game for blacks,1,10364,2.25,['all_groups']
54,2227,2 there is currently an unprecedented assault taking place on the free speech of american citizens by anti white corporate interests,1,8475,2.25,['all_groups']
55,8956,sn is pro white gets race doesn t have same drawbacks,0,694,1.0,['all_groups']
56,2928,he better throw on a shirt you know the bruvuhs love them a beefy white woman,1,11508,2.25,['all_groups']
57,2157,the protesters in new mexico were thugs who were flying the mexican flag the rally inside was big and beautiful but outside criminals,1,8160,2.25,['all_groups']
58,10208,milo is a white nationalist according to i m sure actual white nationalists like would be surprised to hear that,0,132,1.0,['all_groups']
59,8791,i just want the freedom to live and work faithfully without fear of punishment barronelle stutzman florist,0,17518,1.0,['all_groups']
60,5936,i hope they get the book thrown at them and after they serve hopefully long sentences hope they get deported back where they came from,1,20247,2.25,['all_groups']
61,9240,white lives matter is not a racist message,0,18364,1.0,['all_groups']
62,2254,best decision a jew could make to further the cause of white aryan genocide make him take a lie detector test,1,8601,2.25,['all_groups']
63,5145,very true inbreeding is what mooz slimes are doing part of their invasion plan is to turn more women into breeders,1,19399,2.25,['all_groups']
64,2271,funny how you never hear about white men raping women in black neighborhoods i know 2 white women who,1,8698,2.25,['all_groups']
65,6489,muslims are offended i tell you what i m fucking offended by muslims and their ludicrous religion of lowlife cunts please fucking off back under the stone you cane from you utter cunts,1,20824,2.25,['all_groups']
66,3704,correction islamic jihad in america is feminist and pro gay until muslims are the majority then wo,1,14141,2.25,['all_groups']
67,5595,how about a fund for the victims of these illegal immigrants wouldn t that be more proper,1,19886,2.25,['all_groups']
68,10501,he s referring to white supremacists geniuses,0,1358,1.0,['all_groups']
69,11035,buttttttt it s cause and effect muhhhhhh white supremacy,0,1250,1.0,['all_groups']
70,12675,how about a unite the south rally,0,6932,1.0,['all_groups']
71,8370,anti white racism in america news genocide politics,0,1201,1.0,['all_groups']
72,5646,what do you expect a white kid with air jordon shoes in front of blacks come on,1,19939,2.25,['all_groups']
73,13707,all their countersignaling was terrible optics and it killed their brand,0,6735,1.0,['all_groups']
74,10842,for some in the alt right not openly calling for jewish genocide means he s a traitor,0,13054,1.0,['all_groups']
75,11361,i m sure the native americans would be happy to spare you fellas oklahoma like we once did to them,0,3278,1.0,['all_groups']
76,8514,the ppl paying them must b arrested take away the money no antifa,0,3549,1.0,['all_groups']
77,5070,there are both white and black supremacists but when it comes to being self sufficient whites are much more capable and you hold us back,1,19304,2.25,['all_groups']
78,7654,jeh walking it back on freedom from homeland security,0,5164,1.0,['all_groups']
79,2128,no this is the nation of the united states of america white people are indigenous to the usa,1,8003,2.25,['all_groups']
80,1662,sweden seems to be even more mad than the uk,1,6289,2.25,['all_groups']
81,13234,yes i m seeing it on all my social media so far i found 2 strange supporters trump and pence haha,0,7416,1.0,['all_groups']
82,11929,nope everything i ve read about them wrt the left is that they more or less get along,0,3411,1.0,['all_groups']
83,3944,hey black lies matter how does it feel knowing the white man you hate so much is still leading and lying to you,1,15161,2.25,['all_groups']
84,3314,sure sounds like an obama employee mcmaster having ties to nefarious islamic groups is to be as must,1,12704,2.25,['all_groups']
